epoch 	 train_loss 	 train_acc 	 test_acc 
0 	 1970.2425 	 73.44 	 73.38 
1 	 1822.2690 	 73.67 	 74.14 
2 	 1787.6213 	 74.17 	 74.41 
3 	 1772.3634 	 74.33 	 74.48 
4 	 1759.1394 	 74.51 	 74.88 
5 	 1585.1519 	 77.60 	 79.17 
6 	 1366.8799 	 81.03 	 81.38 
7 	 1278.3099 	 82.31 	 83.13 
8 	 1225.9624 	 82.90 	 83.26 
9 	 1171.0716 	 83.48 	 82.04 
10 	 1139.0606 	 83.86 	 83.36 
11 	 1112.2099 	 84.30 	 83.99 
12 	 1086.6739 	 84.56 	 84.30 
13 	 1060.6569 	 84.87 	 82.51 
14 	 1031.8625 	 85.29 	 84.73 
15 	 1009.1438 	 85.65 	 83.70 
16 	 994.8877 	 85.61 	 83.52 
17 	 972.4981 	 86.06 	 84.26 
18 	 961.5576 	 86.25 	 84.43 
19 	 944.2298 	 86.71 	 84.10 
best epoch 14, best acc = 84.73
