epoch 	 train_loss 	 train_acc 	 test_acc 
0 	 2078.9337 	 73.43 	 73.35 
1 	 2046.6130 	 73.51 	 73.35 
2 	 2038.4327 	 73.51 	 73.35 
3 	 2031.0113 	 73.51 	 73.35 
4 	 2026.1976 	 73.51 	 73.35 
5 	 2016.1987 	 73.51 	 73.35 
6 	 2012.3699 	 73.51 	 73.35 
7 	 2006.6142 	 73.51 	 73.35 
8 	 2005.7359 	 73.51 	 73.35 
9 	 1995.6732 	 73.51 	 73.35 
10 	 1995.7435 	 73.51 	 73.35 
11 	 1992.1418 	 73.51 	 73.35 
12 	 1991.5964 	 73.51 	 73.35 
13 	 1985.4214 	 73.51 	 73.35 
14 	 1972.8018 	 73.51 	 73.35 
15 	 1954.2235 	 73.51 	 73.35 
16 	 1930.3607 	 73.52 	 73.35 
17 	 1900.2745 	 73.53 	 73.62 
18 	 1862.5485 	 73.89 	 74.41 
19 	 1828.6046 	 74.19 	 74.73 
best epoch 19, best acc = 74.73
